date,type,status,model,oblast,lat,lon
2022-02-24,Tanks,Destroyed,T-80BVM,"Kharkiv, Kharkiv raion",50.0549042,36.3615697
2022-02-24,Infantry fighting vehicles,Destroyed,MT-LBVM(K),"Kharkiv, Kharkiv raion",50.054933,36.360974
2022-02-24,Anti-aircraft systems,Destroyed,MT-LB(V) with ZU-23 AA gun,"Preobrazhenka, Skadovsk raion",46.19139,33.65386
2022-02-24,Infantry fighting vehicles,Destroyed,BMP-2(K),"Rivnopillia, Chernihiv raion",51.6151,31.22244
2022-02-24,Infantry fighting vehicles,Captured,BMP-2(K),"Shchastia, Shchastia raion",48.741018,39.229218
2022-02-24,Infantry mobility vehicles,Captured,KamAZ-63968 'Typhoon-K',"Okhtyrka, Okhtyrka raion",50.312451,34.864655
2022-02-24,Infantry mobility vehicles,Destroyed,ASN-233115 'Tigr-M SpN',"Alisivka, Kharkiv raion",50.27058,36.28577
2022-02-24,Infantry mobility vehicles,Destroyed,ASN-233115 'Tigr-M SpN',"Rivnopillia, Chernihiv raion",51.6164,31.22163
2022-02-24,Engineering,Destroyed,MTP-A2.1 recovery vehicle,"Rivnopillia, Chernihiv raion",51.6164,31.22163
2022-02-24,Infantry mobility vehicles,Captured,Iveco LMV,"Chernechchyna, Okhtyrka raion",50.31875,34.782028
2022-02-24,"Command posts, communication",Captured,R-149MA1 command and staff vehicle,Kharkiv oblast,,
2022-02-24,"Command posts, communication",Captured,MSh-5350.1 command vehicle,"Okhtyrka, Okhtyrka raion",50.312331,34.865166
2022-02-24,Engineering,Captured,TMM-3 bridge layer,"Okhtyrka, Okhtyrka raion",50.29496,34.88862
2022-02-24,Engineering,Captured,EOV-3523 (KamAZ 6x6) excavator,"Okhtyrka, Okhtyrka raion",50.29504,34.88867
2022-02-24,Anti-tank systems,Captured,9P149 combat vehicle (for 9K114 'Shturm-S'),"Konotop, Konotop raion",51.25051664748468,33.22266558103727
2022-02-24,Rocket and missile artillery,Destroyed,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Lisne, Kharkiv raion",50.0935,36.263194
2022-02-24,Rocket and missile artillery,Destroyed,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Lisne, Kharkiv raion",50.095162,36.265003
2022-02-24,Rocket and missile artillery,Captured,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Lisne, Kharkiv raion",50.093798,36.263415
2022-02-24,Anti-aircraft systems,Destroyed,9A331M TLAR (for 9K332 'Tor-M2'),"Preobrazhenka, Skadovsk raion",46.191417,33.653917
2022-02-24,Airplanes,Destroyed,An-26 transport aircraft,"Uryv-Pokrovka, Ostrogozhsk raion",51.0986,39.14532
2022-02-24,Helicopters,Destroyed,Mi-24P attack helicopter,"Vyshhorod, Vyshhorod raion",50.610377,30.514823
2022-02-24,Helicopters,Destroyed,Mi-24VM (Mi-35M) attack helicopter,Kyiv oblast,,
2022-02-24,Helicopters,Destroyed,Ka-52 'Alligator' attack helicopter,"Hostomel, Bucha raion",50.59318,30.21376
2022-02-24,Helicopters,Captured,Ka-52 'Alligator' attack helicopter,"Hostomel, Bucha raion",50.57404,30.19306
2022-02-24,Transport,Captured,Ural-4320,"Okhtyrka, Okhtyrka raion",,
2022-02-24,"Command posts, communication",Destroyed,AShT-4310 topographic command and staff vehicle,"Okhtyrka, Okhtyrka raion",50.31167,34.93246
2022-02-24,Transport,Destroyed,KamAZ 6x6,"Lisne, Kharkiv raion",50.094139,36.263593
2022-02-24,Anti-aircraft systems,Captured,KamAZ 6x6 with ZU-23 AA gun,"Kharkiv, Kharkiv raion",50.054355,36.360811
2022-02-24,Transport,Captured,KamAZ 6x6,"Okhtyrka, Okhtyrka raion",50.31153,34.93544
2022-02-24,"Command posts, communication",Captured,SA-14RM/SM encryption command post,"Okhtyrka, Okhtyrka raion",50.312333,34.915306
2022-02-24,Transport,Destroyed,KamAZ 6x6,"Lisne, Kharkiv raion",50.094313,36.263719
2022-02-24,Infantry mobility vehicles,Damaged,ASN-233115 'Tigr-M SpN',"Kharkiv, Kharkiv raion",,
2022-02-24,Engineering,Destroyed,IMR-2(M) combat engineering vehicle,"Snovsk, Koriukivka raion",51.8049,31.9639
2022-02-24,Infantry mobility vehicles,Destroyed,UAZ-394511 'Esaul',Kyiv oblast,,
2022-02-24,Transport,Captured,KamAZ 6x6,"Okhtyrka, Okhtyrka raion",50.31168090503014,34.935600304335054
2022-02-24,Infantry fighting vehicles,Destroyed,MT-LBVM(K),"Kharkiv, Kharkiv raion",50.054334,36.36051
2022-02-24,Infantry fighting vehicles,Destroyed,MT-LBVM(K),"Kharkiv, Kharkiv raion",50.054143,36.360185
2022-02-24,Transport,Destroyed,KamAZ 6x6,"Lisne, Kharkiv raion",50.094211,36.263659
2022-02-24,"Command posts, communication",Destroyed,R-149MA1 command and staff vehicle,"Liubymivka, Kakhovka raion",46.78010818353639,33.58799011497186
2022-02-24,Infantry fighting vehicles,Destroyed,MT-LBVM(K),Kharkiv oblast,,
2022-02-24,Transport,Destroyed,Ural-4320,"Ivankiv, Vyshhorod raion",50.9277,29.8728
2022-02-24,Transport,Destroyed,Ural-4320,"Okhtyrka, Okhtyrka raion",50.308893,34.87935
2022-02-24,Engineering,Captured,KMV-10V crane,"Okhtyrka, Okhtyrka raion",50.311056,34.944889
2022-02-24,Infantry fighting vehicles,Captured,MT-LB(V) with hydraulic dozer blade,"Soldatske, Okhtyrka raion",50.419978,35.206466
2022-02-24,Engineering,Captured,BAT-2(M) heavy engineering vehicle,"Tarasivka, Okhtyrka raion",50.463693,35.292062
2022-02-25,Tanks,Destroyed,T-72B Obr. 1989,"Polubotky, Chernihiv raion",51.57414,31.24478
2022-02-25,Tanks,Damaged,T-72B Obr. 1989,"Tokmak, Polohy raion",47.262945,35.710239
2022-02-25,Tanks,Captured,T-72B3,"Polubotky, Chernihiv raion",51.57423,31.24443
2022-02-25,Tanks,Destroyed,T-80BV,"Trostianets, Okhtyrka raion",50.45074,34.95249
2022-02-25,Infantry fighting vehicles,Destroyed,MT-LB(V) with hydraulic dozer blade,"Konotop, Konotop raion",51.268058,33.173111
2022-02-25,"Command posts, communication",Destroyed,R-149BMRg command and staff vehicle,"Konotop, Konotop raion",51.24935554119352,33.22148118650365
2022-02-25,Infantry fighting vehicles,Destroyed,BMP-2(K),"Horodnia, Chernihiv raion",51.87338,31.57528
2022-02-25,Infantry fighting vehicles,Destroyed,BTR-D,"Dymer, Vyshhorod raion",50.78576,30.27426
2022-02-25,Infantry fighting vehicles,Destroyed,BTR-D,"Antonivka, Kherson raion",46.67729,32.71768
2022-02-25,Infantry fighting vehicles,Destroyed,BTR-D,"Antonivka, Kherson raion",46.677387,32.717733
2022-02-25,Infantry mobility vehicles,Captured,ASN-233115 'Tigr-M SpN',"Rivnopillia, Chernihiv raion",51.614216,31.222922
2022-02-25,"Command posts, communication",Destroyed,R-419L1 communications station,"Horodnia, Chernihiv raion",51.8736,31.57545
2022-02-25,Engineering,Destroyed,BAT-2(M) heavy engineering vehicle,"Horodnia, Chernihiv raion",51.87357,31.57507
2022-02-25,Engineering,Captured,BREM-1(M) armoured recovery vehicle,"Tarasivka, Okhtyrka raion",50.463533,35.291867
2022-02-25,Engineering,Captured,PTS-2 tracked amphibious transport,"Horodnia, Chernihiv raion",51.87294,31.57418
2022-02-25,Engineering,Captured,PTS-2 tracked amphibious transport,"Horodnia, Chernihiv raion",51.87295,31.57404
2022-02-25,Engineering,Destroyed,TMM-3M2 bridge layer,"Horodnia, Chernihiv raion",51.87284,31.57396
2022-02-25,Engineering,Destroyed,TMM-3M2 bridge layer,"Horodnia, Chernihiv raion",51.87289,31.57392
2022-02-25,Engineering,Destroyed,TMM-3 bridge layer,"Horodnia, Chernihiv raion",51.87329,31.57544
2022-02-25,Engineering,Destroyed,KamAZ 8x8 (for PP-2005 floating bridge system),"Horodnia, Chernihiv raion",51.87281,31.57352
2022-02-25,Engineering,Destroyed,EOV-3523 (KamAZ 6x6) excavator,"Horodnia, Chernihiv raion",51.87354,31.57524
2022-02-25,Engineering,Destroyed,KS-45719-7M crane,"Horodnia, Chernihiv raion",51.8735,31.5751
2022-02-25,Towed artillery,Damaged,152mm 2A65 'Msta-B' howitzer,"Radensk, Kherson raion",46.591944,32.881423
2022-02-25,Transport,Destroyed,KamAZ 6x6,"Radensk, Kherson raion",46.591412,32.88256
2022-02-25,Towed artillery,Destroyed,152mm 2A65 'Msta-B' howitzer,"Radensk, Kherson raion",46.592235,32.880839
2022-02-25,Towed artillery,Damaged,152mm 2A65 'Msta-B' howitzer,"Radensk, Kherson raion",,
2022-02-25,Anti-aircraft systems,Captured,2S6M combat vehicle (for 2K22M 'Tunguska-M'),"Rohan, Kharkiv raion",49.916748722134784,36.4752221008667
2022-02-25,Airplanes,Destroyed,Su-25SM close air support aircraft,"Vyshehrad, Bucha raion",50.4600328,29.925852
2022-02-25,Airplanes,Destroyed,Su-30SM multirole aircraft,"Millerovo airbase, Millerovo raion",48.9523,40.30617
2022-02-25,Helicopters,Destroyed,Mi-28N attack helicopter,"Blystavytsia, Bucha raion",50.59786,30.19049
2022-02-25,Helicopters,Destroyed,Ka-52 'Alligator' attack helicopter,"Ozera, Bucha raion",50.616142,30.194745
2022-02-25,Transport,Destroyed,9T452 transloader (for 9K57 'Uragan'),"Trostianets, Okhtyrka raion",50.49925,34.97066
2022-02-25,Transport,Destroyed,Ural-4320,"Sumy, Sumy raion",50.88194,34.78467
2022-02-25,Transport,Destroyed,Ural-4320 fuel tanker,"Sumy, Sumy raion",50.88214,34.78471
2022-02-25,"Command posts, communication",Destroyed,R-142NSA command and signals vehicle,"Hostomel, Bucha raion",50.553151,30.283151
2022-02-25,Transport,Destroyed,KamAZ Avtozaks,"Hostomel, Bucha raion",50.553175,30.283497
2022-02-25,Transport,Destroyed,KamAZ 6x6,"Sumy, Sumy raion",50.88174,34.7845
2022-02-25,Transport,Destroyed,KamAZ 6x6,"Horodnia, Chernihiv raion",51.8728,31.57384
2022-02-25,Transport,Destroyed,KamAZ 6x6,"Horodnia, Chernihiv raion",51.87286,31.57374
2022-02-25,Transport,Destroyed,KamAZ 6x6 fuel tanker,"Sumy, Sumy raion",50.88231,34.78467
2022-02-25,Transport,Destroyed,KamAZ-63501AT 'Medved' artillery tractor,"Radensk, Kherson raion",46.591897,32.881547
2022-02-25,Transport,Destroyed,KamAZ-63501AT 'Medved' artillery tractor,"Radensk, Kherson raion",46.591835,32.881744
2022-02-25,Transport,Damaged,KamAZ-63501AT 'Medved' artillery tractor,"Radensk, Kherson raion",46.59175,32.882
2022-02-25,Transport,Damaged,KamAZ-63501AT 'Medved' artillery tractor,"Radensk, Kherson raion",46.591611,32.882222
2022-02-25,Infantry fighting vehicles,Destroyed,MT-LB(V),"Horodnia, Chernihiv raion",51.869744,31.559906
2022-02-25,Engineering,Destroyed,KS-45719-7M crane,"Kalynivka (Talalaivka hromada), Nizhyn raion",50.896997,32.060593
2022-02-25,Infantry fighting vehicles,Destroyed,BTR-82A(M),"Zaozerne, Kakhovka raion",46.587708,33.97538
2022-02-25,Infantry fighting vehicles,Destroyed,BTR-82A(M),"Zaozerne, Kakhovka raion",46.58759,33.975739
2022-02-25,Transport,Destroyed,KamAZ-63501AT 'Medved' artillery tractor,"Radensk, Kherson raion",46.592182,32.880949
2022-02-25,Transport,Destroyed,KamAZ-63501AT 'Medved' artillery tractor,"Radensk, Kherson raion",46.59028,32.885069
2022-02-25,Transport,Captured,Ural-4320 fuel tanker,"Rykun, Vyshhorod raion",50.787843,30.256498
2022-02-26,Tanks,Destroyed,T-72B,"Metolchyne, Siverskodonetsk raion",48.936789,38.600982
2022-02-26,Tanks,Damaged,T-72B,Chernihiv oblast,,
2022-02-26,Tanks,Destroyed,T-72B Obr. 1989,"Chernihiv, Chernihiv raion",51.52994715495494,31.317462261268545
2022-02-26,Tanks,Captured,T-72B Obr. 1989,"Chernihiv, Chernihiv raion",51.52802,31.3362
2022-02-26,Tanks,Captured,T-80U,"Pedorychi, Myrhorod raion",50.413412,34.288066
2022-02-26,Tanks,Captured,T-80UE-1,"Trostianets, Okhtyrka raion",50.47681882595542,34.92351389461564
2022-02-26,Infantry fighting vehicles,Destroyed,MT-LB(V),"Rykove, Henichesk raion",,
2022-02-26,Infantry fighting vehicles,Captured,MT-LBVM(K),"Kharkiv raion, Kharkiv oblast",,
2022-02-26,Infantry fighting vehicles,Captured,MT-LBVM(K),"Kharkiv, Kharkiv raion",49.92860206067584,36.44745673693705
2022-02-26,"Command posts, communication",Captured,1V14(M) artillery command vehicle (for 1V12(M) 'Mashina-S'/'Faltset' fire control system),"Tokari (Bezdryk hromada), Sumy raion",50.91855,34.9073
2022-02-26,Anti-aircraft systems,Captured,2S1 'Gvozdika' with ZU-23 AA gun,Luhansk oblast,,
2022-02-26,Infantry fighting vehicles,Captured,BMP-1(P),"Chernihiv, Chernihiv raion",51.52953,31.33668
2022-02-26,Infantry fighting vehicles,Captured,BMP-2(K),"Yaseny, Sumy raion",50.85205,34.67786
2022-02-26,Infantry fighting vehicles,Captured,BMP-2(K),South Ukraine,,
2022-02-26,Infantry fighting vehicles,Captured,BMP-2(K),,,
2022-02-26,Infantry fighting vehicles,Destroyed,BMD-2,"Bucha, Bucha raion",50.54355,30.22694
2022-02-26,Infantry fighting vehicles,Destroyed,BMD-4M,Kherson oblast,,
2022-02-26,Infantry fighting vehicles,Destroyed,BTR-82A(M),"Kosivshchyna, Sumy raion",50.91033,34.71274
2022-02-26,Infantry fighting vehicles,Destroyed,BTR-70M,"Mykhailivka, Kharkiv raion",50.05929,36.52392
2022-02-26,"Command posts, communication",Captured,BMD-1KSh-A command and staff vehicle,"Tokarivka, Kherson raion",46.748778,32.964972
2022-02-26,Infantry mobility vehicles,Destroyed,AMN-233114 'Tigr-M' with 'Arbalet-DM',"Solontsi, Kherson raion",46.55257,32.66277
2022-02-26,Infantry mobility vehicles,Destroyed,GAZ-233036 SPM-2 'Tigr',"Mykhailivka, Kharkiv raion",50.05902,36.5232
2022-02-26,"Command posts, communication",Captured,R-166-0.5 'Artek' radio station based on BTR-80,"Chernihiv, Chernihiv raion",51.52927,31.33677
2022-02-26,"Command posts, communication",Destroyed,MPUS-K mobile command post,"Tovstolis, Chernihiv raion",51.583172,31.36326
2022-02-26,Engineering,Captured,BREM-K armoured recovery vehicle,"Tokari (Bezdryk hromada), Sumy raion",50.91313,34.90297
2022-02-26,Engineering,Destroyed,TMM-3M2 bridge layer,"Kudriave, Kakhovka raion",46.51144,33.49601
2022-02-26,Engineering,Captured,TMM-3 bridge layer,"Vorozhba (Lebedyn hromada), Sumy raion",50.708374,34.641816
2022-02-26,Engineering,Destroyed,River link pontoon (for PMP(-M) floating bridge system),"Chorna Dolyna, Kakhovka raion",46.554756,33.488056
2022-02-26,Engineering,Destroyed,River link pontoon (for PMP(-M) floating bridge system),"Bohdanivka, Kakhovka raion",46.555306,33.488098
2022-02-26,Engineering,Destroyed,River link pontoon (for PMP(-M) floating bridge system),"Bohdanivka, Kakhovka raion",46.555465,33.488089
2022-02-26,Rocket and missile artillery,Captured,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Prudianka, Kharkiv raion",50.231908,36.167036
2022-02-26,Rocket and missile artillery,Captured,122mm 2B17 BM-21-1 (for 9K51 'Grad'),"Prudianka, Kharkiv raion",50.231944,36.167231
2022-02-26,Anti-aircraft systems,Damaged,9A310M1-2 TELAR (for 9K37M1-2 'Buk-M1-2'),Belgorod oblast,,
2022-02-26,Helicopters,Destroyed,Mi-24VM (Mi-35M) attack helicopter,"Sahy, Kherson raion",46.61394,32.79483
2022-02-26,"Command posts, communication",Destroyed,1V110 'Beryoza' artillery command vehicle (for 1V17 'Mashina-B' fire control system),"Prudianka, Kharkiv raion",50.231866,36.166542
2022-02-26,Transport,Captured,GAZ-3308 'Sadko',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05844,36.52182
2022-02-26,Transport,Captured,GAZ-3308 'Sadko',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05839,36.52179
2022-02-26,Transport,Captured,GAZ-3308 'Sadko',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05343,36.50936
2022-02-26,Transport,Destroyed,KamAZ 6x6,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05812,36.52114
2022-02-26,Engineering,Captured,MTO-AM1 maintenance vehicle,"Sumy, Sumy raion",50.94401,34.77815
2022-02-26,Transport,Destroyed,Ural-4320 fuel tanker,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05857,36.5222
2022-02-26,Transport,Destroyed,Ural-4320 fuel tanker,"Dymer, Vyshhorod raion",50.78747,30.31505
2022-02-26,Transport,Captured,2F510A transport vehicle (for 2S12 'Sani' mortar),"Kharkiv raion, Kharkiv oblast",,
2022-02-26,Transport,Captured,2F510A transport vehicle (for 2S12 'Sani' mortar),"Kharkiv raion, Kharkiv oblast",,
2022-02-26,Transport,Destroyed,'Federal-42591',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05774,36.51997
2022-02-26,Transport,Captured,Ural-4320 'Zvezda-V',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.058,36.52058
2022-02-26,Transport,Captured,Ural-4320 'Zvezda-V',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05779,36.52014
2022-02-26,Transport,Destroyed,KamAZ 6x6,"Kudriave, Kakhovka raion",46.51226,33.49581
2022-02-26,Transport,Destroyed,KamAZ 6x6 fuel tanker,"Kudriave, Kakhovka raion",46.51183,33.49591
2022-02-26,Transport,Destroyed,KamAZ 6x6,"Kudriave, Kakhovka raion",46.51153,33.49599
2022-02-26,Engineering,Destroyed,MTO-AG-3M maintenance vehicle,"Mykhailivka, Kharkiv raion",50.0592,36.5237
2022-02-26,Engineering,Destroyed,MTO-AG-3M maintenance vehicle,"Mykhailivka, Kharkiv raion",50.05898,36.52322
2022-02-26,Transport,Destroyed,KamAZ 6x6,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05806,36.52101
2022-02-26,Transport,Destroyed,Ural Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05806,36.52089
2022-02-26,Transport,Destroyed,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05801,36.52077
2022-02-26,Transport,Destroyed,KamAZ 6x6,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05771,36.52001
2022-02-26,Transport,Captured,KamAZ 6x6,"Kharkiv raion, Kharkiv oblast",,
2022-02-26,Transport,Damaged,KamAZ 6x6 fuel tanker,"Kudriave, Kakhovka raion",46.51122,33.49608
2022-02-26,Transport,Destroyed,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05758,36.5197
2022-02-26,Transport,Captured,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05825,36.52142
2022-02-26,Transport,Captured,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05831,36.52158
2022-02-26,Transport,Captured,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05836,36.52172
2022-02-26,Transport,Captured,KamAZ Avtozaks,"Hostomel, Bucha raion",50.55317,30.280998
2022-02-26,Transport,Captured,KamAZ 6x6,"Hostomel, Bucha raion",50.553231,30.280735
2022-02-26,Infantry fighting vehicles,Destroyed,BTR-82A(M),"Ivankiv, Vyshhorod raion",50.95101,29.8824
2022-02-26,Transport,Destroyed,Ural-4320,"Bolotnia, Vyshhorod raion",50.95113,29.88188
2022-02-26,Anti-aircraft systems,Destroyed,9A33BM TELAR (for 9K33M3 'Osa-AKM'),"Romny raion, Sumy oblast",,
2022-02-26,Transport,Destroyed,Ural-4320 'Zvezda-V',"Mykhailivka, Kharkiv raion",50.05898,36.52308
2022-02-26,Anti-aircraft systems,Destroyed,9A33BM TELAR (for 9K33M3 'Osa-AKM'),Kharkiv oblast,,
2022-02-26,Engineering,Captured,BAT-2(M) heavy engineering vehicle,"Kharkiv raion, Kharkiv oblast",,
2022-02-26,Transport,Destroyed,Ural Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05793,36.52069
2022-02-26,Transport,Destroyed,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05795,36.52064
2022-02-26,Transport,Destroyed,KamAZ Avtozaks,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05787,36.5209
2022-02-26,Transport,Destroyed,Gorets-395800,"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05797,36.52058
2022-02-26,Tanks,Destroyed,T-72B,"Kolonshchyna, Bucha raion",50.42384,29.92728
2022-02-26,"Radars, jammers",Destroyed,Unknown radar,"Dolzhanskaya, Yeysk raion",46.678815,37.743855
2022-02-26,Transport,Destroyed,KamAZ 6x6,"Yaseny, Sumy raion",50.85215,34.67809
2022-02-26,Transport,Destroyed,Ural-4320 fuel tanker,"Bolotnia, Vyshhorod raion",50.95111,29.88168
2022-02-26,Engineering,Destroyed,KrAZ-255 (for PMP floating bridge system),"Bohdanivka, Kakhovka raion",46.556287,33.488167
2022-02-26,Infantry mobility vehicles,Destroyed,VPK-233136 SBM 'Tigr',"Oleksandrivka (Tsyrkuny hromada), Kharkiv raion",50.05811,36.52092
2022-02-26,Tanks,Destroyed,T-72B Obr. 1989,"Tovstolis, Chernihiv raion",51.58331,31.366226
2022-02-26,Transport,Destroyed,UAZ-452,"Korovyntsi, Romny raion",50.800779,33.731124
2022-02-26,Transport,Destroyed,KamAZ 6x6 fuel tanker,"Vilshana, Romny raion",,
2022-02-26,Engineering,Destroyed,KrAZ-255 (for PMP floating bridge system),"Chorna Dolyna, Kakhovka raion",46.554756,33.488056
2022-02-26,Engineering,Destroyed,KrAZ-255 (for PMP floating bridge system),"Bohdanivka, Kakhovka raion",46.555306,33.488098
2022-02-26,Engineering,Destroyed,KrAZ-255 (for PMP floating bridge system),"Bohdanivka, Kakhovka raion",46.555465,33.488089
2022-02-26,Engineering,Destroyed,River link pontoon (for PMP(-M) floating bridge system),"Bohdanivka, Kakhovka raion",46.556287,33.488167
2022-02-26,Transport,Destroyed,Ural-4320,"Ivanytsia, Pryluky raion",,
2022-02-27,Tanks,Destroyed,T-72B3 Obr. 2016,"Kamiane (Lebedyn hromada), Sumy raion",50.45374,34.3029
2022-02-27,Tanks,Destroyed,T-72B3 Obr. 2016,"Milky, Pryluky raion",50.62619,32.60686
2022-02-27,Tanks,Destroyed,T-72BA,"Sarnavshchyna, Konotop raion",,
2022-02-27,Tanks,Destroyed,T-72B3 Obr. 2016,"Perevolochna, Pryluky raion",50.63206,32.61654
2022-02-27,Tanks,Captured,T-72B3 Obr. 2016,"Sribne, Pryluky raion",50.6755,32.8871
2022-02-27,Tanks,Captured,T-72B3 Obr. 2016,"Milky, Pryluky raion",50.62593,32.60667
2022-02-27,Tanks,Captured,T-72B3 Obr. 2016,"Perevolochna, Pryluky raion",50.653418,32.665613
2022-02-27,Tanks,Captured,T-72B3 Obr. 2016,"Perevolochna, Pryluky raion",50.65131,32.65368
2022-02-27,Tanks,Captured,T-80BV,"Chupakhivka, Okhtyrka raion",50.397639,34.585301
2022-02-27,Tanks,Captured,T-80BV,"Chupakhivka, Okhtyrka raion",50.397585,34.58537
2022-02-27,Tanks,Destroyed,T-80U,"Trostianets, Okhtyrka raion",50.48595850199784,34.941651390928406
2022-02-27,Tanks,Destroyed,T-80U,"Boromlia, Okhtyrka raion",50.57741327816853,34.97018237856367
2022-02-27,Tanks,Destroyed,T-80U,"Chupakhivka, Okhtyrka raion",50.39756330349072,34.585191734139734
2022-02-27,Tanks,Captured,T-80U,"Chupakhivka, Okhtyrka raion",50.397275,34.583943
2022-02-27,Tanks,Captured,T-80U,"Martynivka, Myrhorod raion",50.3701,34.31629
2022-02-27,Tanks,Captured,T-80U,"Soldatske, Okhtyrka raion",50.419901,35.206267
2022-02-27,Tanks,Captured,T-80U,"Zinkiv, Poltava raion",,
2022-02-27,Tanks,Destroyed,T-80UK,"Trostianets, Okhtyrka raion",50.48608299570544,34.94131230919041
2022-02-27,Tanks,Captured,T-80BVM,"Derhachi, Kharkiv raion",,
2022-02-27,Tanks,Destroyed,T-90A Obr. 2006,"Sumy, Sumy raion",50.875372,34.904112
2022-02-27,Tanks,Destroyed,T-90A Obr. 2006,"Verkhnia Syrovatka, Sumy raion",50.815436,34.939581
2022-02-27,Tanks,Captured,T-90A Obr. 2006,"Tokari (Bezdryk hromada), Sumy raion",50.92222,34.94174
2022-02-27,Tanks,Destroyed,T-90A Obr. 2006,"Verkhnia Syrovatka, Sumy raion",50.835716,34.938644
2022-02-27,Tanks,Captured,T-90A Obr. 2006,"Pysarivka, Sumy raion",51.07907,34.81307
2022-02-27,Tanks,Captured,T-90A Obr. 2010,"Posad-Pokrovske, Kherson raion",46.816809,32.255958
2022-02-27,Infantry fighting vehicles,Destroyed,MT-LB(V),"Bakhmach, Nizhyn raion",,
2022-02-27,"Command posts, communication",Captured,1V13(M) artillery command vehicle (for 1V12(M) 'Mashina-S'/'Faltset' fire control system),"Sribne, Pryluky raion",,
2022-02-27,"Command posts, communication",Captured,1V119 'Reostat' artillery command vehicle,"Bucha, Bucha raion",50.54375,30.2268
2022-02-27,Infantry fighting vehicles,Destroyed,BMP-2(K),"Hutnytske, Sumy raion",50.814091380863225,34.38083049912018
2022-02-27,Infantry fighting vehicles,Destroyed,BMP-2(K),"Hutnytske, Sumy raion",50.8155616608931,34.391492381494324
2022-02-27,Infantry fighting vehicles,Destroyed,BMP-2(K),"Demydiv, Vyshhorod raion",50.71299,30.33924
2022-02-27,Infantry fighting vehicles,Destroyed,BMP-2(K),"Bucha, Bucha raion",50.55604,30.21622
2022-02-27,Infantry fighting vehicles,Destroyed,MT-LBVM(K),"Nova Kakhovka, Kakhovka raion",46.74564,33.34872
2022-02-27,Infantry fighting vehicles,Captured,BMP-2(K),"Trostianets, Okhtyrka raion",50.48634,34.9406
2022-02-27,Infantry fighting vehicles,Destroyed,BMP-3,,,
2022-02-27,Infantry fighting vehicles,Destroyed,BMD-4M,"Shylova Balka, Kakhovka raion",46.815643,33.325596
2022-02-27,Infantry fighting vehicles,Captured,BMP-3,"Posad-Pokrovske, Kherson raion",46.8167458,32.2557652
2022-02-27,Infantry fighting vehicles,Captured,BMP-3,Mykolaiv oblast,,
2022-02-27,Infantry fighting vehicles,Captured,BMP-3,"Posad-Pokrovske, Kherson raion",46.79813,32.279138
2022-02-27,Infantry fighting vehicles,Destroyed,BMD-2,"Bucha, Bucha raion",50.55498,30.2172
2022-02-27,Infantry fighting vehicles,Destroyed,BMD-2,"Bucha, Bucha raion",50.544643,30.226037
2022-02-27,Infantry fighting vehicles,Destroyed,BMD-2,"Bucha, Bucha raion",50.54495,30.22575
2022-02-27,Infantry fighting vehicles,Destroyed,BMD-2,"Bucha, Bucha raion",50.54491,30.2259
2022-02-27,Infantry fighting vehicles,Destroyed,BMD-2,"Bucha, Bucha raion",50.54336,30.22717
2022-02-27,Infantry fighting vehicles,Captured,BMD-2,"Bucha, Bucha raion",50.54361,30.22689
2022-02-27,Infantry fighting vehicles,Captured,BMD-2,"Bucha, Bucha raion",50.54401,30.22716
2022-02-27,Infantry fighting vehicles,Captured,BMD-2,"Bucha, Bucha raion",50.54232,30.22808
2022-02-27,Infantry fighting vehicles,Destroyed,BTR-82A(M),"Bucha, Bucha raion",50.543216,30.227454
2022-02-27,Infantry fighting vehicles,Destroyed,BTR-82A(M),"Bucha, Bucha raion",50.54407,30.22663
